Type,Depth,Magnitude
earthquake,,1.7
earthquake,0.01712,0.36
earthquake,,2.4
earthquake,,1.8
earthquake,0.07838,0.93
earthquake,,2.0
earthquake,1.823,4.6
earthquake,0.003604,0.43
earthquake,,1.8
earthquake,0.03548,0.38
earthquake,2.703,4.1
earthquake,0.01351,1.25
earthquake,0.2455,1.79
earthquake,0.35573285,1.4
earthquake,0.01742,0.75
earthquake,0.06314,0.43
earthquake,0.004505,0.27
earthquake,0.06332,0.16
earthquake,0.01261,0.87
earthquake,3.317,4.2
earthquake,0.04028,0.26
earthquake,1.203,4.1
earthquake,,1.4
earthquake,1.514,4.0
earthquake,9.243,4.6
earthquake,5.399,4.4
earthquake,0.08198,1.14
earthquake,,1.7
earthquake,,1.4
earthquake,,2.5
earthquake,0.12,0.0
earthquake,0.05178,0.72
earthquake,0.05898,1.28
earthquake,0.007207,0.1
earthquake,0.05112,1.79
earthquake,0.148,-0.3
earthquake,,2.6
earthquake,4.148,4.0
earthquake,,1.3
earthquake,,2.9
earthquake,0.001802,1.99
earthquake,0.005405,0.55
earthquake,0.01523,1.36
earthquake,0.005405,0.73
earthquake,,1.8
earthquake,,1.9
earthquake,,1.8
earthquake,0.83543321,3.2
earthquake,,1.5
