Felt,Detail,CDI,Sig
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141z3tbj&format=geojson,,68
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408786&format=geojson,,3
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00433110&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141z0he7&format=geojson,,68
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134341&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lvdi&format=geojson,,284
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141yy0lj&format=geojson,,56
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408778&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134326&format=geojson,,1
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134331&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134321&format=geojson,,7
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134316&format=geojson,,11
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141yiwht&format=geojson,,30
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408770&format=geojson,,24
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ld60052526&format=geojson,,54
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141yfv0b&format=geojson,,56
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432945&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134311&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408762&format=geojson,,7
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141yc0st&format=geojson,,26
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134306&format=geojson,,5
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134296&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432944&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72135686&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc71076964&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc71076969&format=geojson,,10
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408754&format=geojson,,32
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408746&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408738&format=geojson,,19
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lvd6&format=geojson,,340
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134291&format=geojson,,11
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408730&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw60664401&format=geojson,,31
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lyby&format=geojson,,199
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134286&format=geojson,,60
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408722&format=geojson,,13
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141xp2vj&format=geojson,,39
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141xowd6&format=geojson,,30
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408714&format=geojson,,23
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv60614356&format=geojson,,57
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv60614346&format=geojson,,60
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134281&format=geojson,,16
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw60664386&format=geojson,,1
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr14001003&format=geojson,,30
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lvcu&format=geojson,,326
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134966&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134271&format=geojson,,16
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134266&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv60614331&format=geojson,,24
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134256&format=geojson,,5
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lvb7&format=geojson,,369
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134251&format=geojson,,16
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000mh9l&format=geojson,,271
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lvb5&format=geojson,,650
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408698&format=geojson,,14
32.0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408690&format=geojson,3.1,150
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408682&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141wqmf3&format=geojson,,68
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134241&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141wo8gs&format=geojson,,81
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2w2&format=geojson,,284
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134236&format=geojson,,26
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2w1&format=geojson,,326
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134226&format=geojson,,8
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432834&format=geojson,,6
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134221&format=geojson,,7
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lval&format=geojson,,369
